Platform,Category,Problem Name,URL,Difficulty,Key Concept
LeetCode,String,87. Scramble String,https://leetcode.com/problems/scramble-string/,Hard,"String, Dynamic Programming"
LeetCode,Array,88. Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,"Array, Two Pointers, Sorting"
LeetCode,Math,89. Gray Code,https://leetcode.com/problems/gray-code/,Medium,"Math, Backtracking, Bit Manipulation"
LeetCode,Array,90. Subsets II,https://leetcode.com/problems/subsets-ii/,Medium,"Array, Backtracking, Bit Manipulation"
LeetCode,String,91. Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,"String, Dynamic Programming"
LeetCode,Linked List,92. Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,Linked List
LeetCode,String,93. Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,Medium,"String, Backtracking"
LeetCode,Stack,94. Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,Easy,"Stack, Tree, Depth-First Search, Binary Tree"
LeetCode,Dynamic Programming,95. Unique Binary Search Trees II,https://leetcode.com/problems/unique-binary-search-trees-ii/,Medium,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
LeetCode,Math,96. Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees/,Medium,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
LeetCode,String,97. Interleaving String,https://leetcode.com/problems/interleaving-string/,Medium,"String, Dynamic Programming"
LeetCode,Tree,98. Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
LeetCode,Tree,99. Recover Binary Search Tree,https://leetcode.com/problems/recover-binary-search-tree/,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
LeetCode,Tree,100. Same Tree,https://leetcode.com/problems/same-tree/,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
LeetCode,Tree,101. Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
LeetCode,Tree,102. Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,"Tree, Breadth-First Search, Binary Tree"
LeetCode,Tree,103. Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,"Tree, Breadth-First Search, Binary Tree"
LeetCode,Tree,104. Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
LeetCode,Array,105. Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
LeetCode,Array,106. Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
LeetCode,Tree,107. Binary Tree Level Order Traversal II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,Medium,"Tree, Breadth-First Search, Binary Tree"
LeetCode,Array,108. Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,Easy,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
LeetCode,Linked List,109. Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,Medium,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
LeetCode,Tree,110. Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,Easy,"Tree, Depth-First Search, Binary Tree"
LeetCode,Tree,111. Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
LeetCode,Tree,112. Path Sum,https://leetcode.com/problems/path-sum/,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
LeetCode,Backtracking,113. Path Sum II,https://leetcode.com/problems/path-sum-ii/,Medium,"Backtracking, Tree, Depth-First Search, Binary Tree"
LeetCode,Linked List,114. Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Medium,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
LeetCode,String,115. Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,Hard,"String, Dynamic Programming"
LeetCode,Linked List,116. Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,Medium,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
LeetCode,Linked List,117. Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,Medium,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
LeetCode,Array,118. Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/,Easy,"Array, Dynamic Programming"
LeetCode,Array,119. Pascal's Triangle II,https://leetcode.com/problems/pascals-triangle-ii/,Easy,"Array, Dynamic Programming"
LeetCode,Array,120. Triangle,https://leetcode.com/problems/triangle/,Medium,"Array, Dynamic Programming"
LeetCode,Array,121. Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,"Array, Dynamic Programming"
LeetCode,Array,122. Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,"Array, Dynamic Programming, Greedy"
LeetCode,Array,123. Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Hard,"Array, Dynamic Programming"
LeetCode,Dynamic Programming,124. Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
LeetCode,Two Pointers,125. Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,"Two Pointers, String"
LeetCode,Hash Table,126. Word Ladder II,https://leetcode.com/problems/word-ladder-ii/,Hard,"Hash Table, String, Backtracking, Breadth-First Search"
LeetCode,Hash Table,127. Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,"Hash Table, String, Breadth-First Search"
LeetCode,Array,128. Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,"Array, Hash Table, Union-Find"
LeetCode,Tree,129. Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/,Medium,"Tree, Depth-First Search, Binary Tree"
